Title ISBN|ISBN|Title|[N] Title|[G] Title|Author|[N] Author|[G] Author|[N] Subjects|[G] Subjects|[N] Abstract|[N] Notes|[N] Physical Description|[G] Page Count|Item DDC Code|Item Media|Title Publication Date|[G] Published Date|[N] Cover URL|[G] Cover URL
9780451493255|9780451493255.0|Winners Take All: The Elite Charade Of Changing The World|Winners take all : the elite charade of changing the world / Anand Giridharadas.|Winners Take All|Giridharadas, Anand|Giridharadas, Anand|Anand Giridharadas|Nonfiction., Social conditions, Social change, Elite (Social sciences), Plutocracy, Plutocracy United States., Elite (Social sciences) United States., Social change United States., Politics., Sociology., United States Social conditions 1980-2020., United States, Electronic books., Nonfiction., Nonfiction.|Social Science|NEW YORK TIMES BESTSELLER  •  The groundbreaking investigation of how the global elite's efforts to change the world preserve the status quo and obscure their role in causing the problems they later seek to solve. An essential read for understanding some of the egregious abuses of power that dominate today's news. Impassioned.... Entertaining reading.  - The Washington Post    Anand Giridharadas takes us into the inner sanctums of a new gilded age, where the rich and powerful fight for equality and justice any way they can-except ways that threaten the social order and their position atop it. They rebrand themselves as saviors of the poor; they lavishly reward thought leaders who redefine change in ways that preserve the status quo; and they constantly seek to do more good, but never less harm.        Giridharadas asks hard questions: Why, for example, should our gravest problems be solved by the unelected upper crust instead of the public institutions it erodes by lobbying and dodging taxes? His groundbreaking investigation has already forced a great, sorely needed reckoning among the world's wealthiest and those they hover above, and it points toward an answer: Rather than rely on scraps from the winners, we must take on the grueling democratic work of building more robust, egalitarian institutions and truly changing the world-a call to action for elites and everyday citizens alike.||1 online resource||303.40973|ebook - ebook|08/28/2018|2018-08-28|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780451493255?s=MD|http://books.google.com/books/content?id=eURBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9781843586173|9781843586173.0|A Chilling Study Of The World'S Most Evil People|Talking with serial killers The Most Evil People in the World Tell Their Own Stories. Christopher Berry-Dee.|Talking with Serial Killers|Berry-Dee, Christopher|Berry-Dee, Christopher.|Christopher Berry-Dee|Electronic books., Nonfiction., True Crime., Electronic book|True Crime|An investigative criminologist, Christopher Berry-Dee is a man who talks to serial killers. Their pursuit of horror and violence is described in their own words, transcribed from audio and videotape interviews conducted deep inside some of the toughest prisons in the world. Berry-Dee describes the circumstances of his meetings with some of the world's most evil men and reproduces, verbatim, their very words as they describe their crimes and discuss their remorse -- or lack of it. This work offers a penetrating insight into the workings of the criminal mind.||||364.1523092|ebook - ebook|05/23/2003|2013-05-23|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781843586173?s=MD|http://books.google.com/books/content?id=6SCtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9780147546630|9780147546630.0|Fodor'S Prague: With The Best Of The Czech Republic|Fodor's prague : With the Best of the Czech Republic. Fodor's Travel Guides.|Fodor's Prague|Travel Guides, Fodor's||Fodor's Travel Guides|Nonfiction., Travel., Electronic books., Electronic book|Travel|Written by locals, Fodor's travel guides have been offering expert advice for all tastes and budgets for 80 years. Offering value, a vibrant nightlife scene, and one of the most beautiful old cities in all of Europe, it's no wonder that Prague is the single most-visited destination in Eastern Europe. The full-color Fodor's Prague guide provides all the recommendations and tips travelers need for exploring this picturesque city.This travel guide includes:&#183; Dozens of full-color maps &#183; Hundreds of hotel and restaurant recommendations, with Fodor's Choice designating our top picks&#183; Multiple itineraries to explore the top attractions and what's off the beaten path&#183; Major sights such as the Old Town Square, Church of St. Nicholas, and the Jewish Museum&#183; Day Trips from Prague including Kutna Hora, Lidice, and Terezin&#183; Coverage of Prague, Southern Bohemia, Western Bohemia, and Moravia||1 online resource||Missing Value|ebook - ebook|03/15/2017|2017-03-14|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780147546630?s=MD|http://books.google.com/books/content?id=1DzFDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9781628873993|9781628873993.0|Frommer'S France|Frommer's france. Anson Jane.||Anson Jane|Jane, Anson.||Nonfiction., Travel, Travel., France, Electronic books.||Take the guesswork out of vacation planning. Frommer's hires only seasoned experts, journalists who live in France either full-time or part-time, which means their advice doesn't have to be second-guessed. It's savvy, dependable, and not based on one or two short trips to France, but on a lifetime of exploration. They offer a detail- and tip-rich commentary on France's iconic sights, and will introduce you to restaurants, off-the-beaten-path attractions, and shops that few tourists know to visit. So whether you're going to be castle-hopping in the Loire Valley, skiing the French Alps, lounging on the sands of the French Riviera, tippling at Bordeaux wineries, or taking Paris by storm, this book is for you. Vive La France!  Frommer's France contains: *Dozens of stunning, full-color photos throughout *Helpful maps, including a fully-detachable fold-out map *Strategic itineraries, including for families and weeklong stays, so you can make the most of your time  *Authentic experiences to help you appreciate French culture, cuisine, historic sights and customs like a local  *Candid reviews of the best restaurants, attractions, tours, shops, and experiences-and advice on the ones not worth your time and money *Accurate, up-to-date info on transportation, useful websites, costs, telephone numbers, and more  *Budget-planning help with the lowdown on prices and ways to save money, whether you're traveling on a shoestring or in the lap of luxury  About Frommer's: There's a reason that Frommer's has been the most trusted name in travel for more than sixty years. Arthur Frommer created the best-selling guide series in 1957 to help American servicemen fulfill their dreams of travel in Europe, and since then, we have published thousands of titles became a household name helping millions upon millions of people realize their own dreams of seeing our planet. Travel is easy with Frommer's.|Title from eBook information screen..|1 online resource||914.4048412|ebook - ebook|10/05/2018||https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781628873993?s=MD|
9781788686310|9781788686310.0|Lonely Planet Italian Phrasebook & Dictionary With Audio|Italian phrasebook & dictionary / product editor, Bruce Evans ; language writers, Pietro Iagnocco, Karina Coates, Susie Walker, Mirna Cicioni, Anna Beltrami.||Iagnocco, Pietro|Planet, Lonely.||Nonfiction., Italian language., English language., Italian language Self-instruction., English language Dictionaries Italian., Italian language Dictionaries English., Italian language Vocabulary., Italian language Conversation and phrase books English., Foreign Language Study., Language Arts., Travel., Electronic books., Dictionaries., Phrase books., Self-instruction., Phrase books., Dictionaries., Conversation and phrase books., Beltrami, Anna, author.||Lonely Planet Italian Phrasebook & Dictionary is your handy passport to culturally enriching travels with the most relevant and useful Italian phrases and vocabulary for all your travel needs. Order an espresso like a local, ask shop keepers about the latest fashions and bargain for fresh produce at the market; all with your trusted travel companion. With language tools in your back pocket, you can truly get to the heart of wherever you go, so begin your journey now!Get More From Your Trip with Easy-to-Find Phrases for Every Travel Situation! Feel at ease with essential tips on culture, manners, idioms and multiple meanings Order with confidence, explain food allergies, and try new foods with the menu decoder Save time and hassles with vital phrases at your fingertips Never get stuck for words with the 3500-word two-way, quick-reference dictionary Be prepared for both common and emergency travel situations with practical phrases and terminology Meet friends with conversation starter phrases Get your message across with easy-to-use pronunciation guides Inside Lonely Planet Italian Phrasebook & Dictionary: Full-colour throughout User-friendly layout organised by travel scenario categories Survival phrases inside front cover for at-a-glance on-the-fly cuesCovers Basics - time, dates, numbers, amounts, pronunciation, reading tips, grammar rules Practical - travel with kids, disabled travellers, sightseeing, business, banking, post office, internet, phones, repairs, bargaining, accommodation, directions, border crossing, transport Social - meeting people, interests, feelings, opinions, going out, romance, culture, activities, weather Safe Travel - emergencies, police, doctor, chemist, dentist, symptoms, conditions Food - ordering, at the market, at the bar, dishes, ingredients The Perfect Choice: Lonely Planet Italian Phrasebook & Dictionary, a pocket-sized comprehensive language guide, provides on-the-go language assistance; great for language students and travellers looking to interact with locals and immerse themselves in local culture.About Lonely Planet: Since 1973, Lonely Planet has become the world's leading travel media company with guidebooks to every destination, an award-winning website, mobile and digital travel products, and a dedicated traveller community. Lonely Planet covers must-see spots but also enables curious travellers to get off beaten paths to understand more of the culture of the places in which they find themselves.||1 online resource||458.3421|ebook - ebook|09/01/2018||https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781788686310?s=MD|
9781982114114|9781982114114.0|My Friend Anna: The True Story Of A Fake Heiress|My friend anna : The true story of a fake heiress. Rachel DeLoache Williams.|My Friend Anna|DeLoache Williams, Rachel|DeLoache Williams, Rachel.|Rachel DeLoache Williams|Nonfiction., Biography & Autobiography., True Crime., Electronic books.|True Crime|ONE OF  TIME 'S 100 BEST BOOKS OF THE YEAR      Sex and the City  meets  Catch Me if You Can  in the astonishing true story of Anna Delvey, a young con artist posing as a German heiress in New York City-as told by the former  Vanity Fair  photo editor who got seduced by her friendship and then scammed out of more than $62,000.    Vanity Fair  photo editor Rachel DeLoache Williams's new friend Anna Delvey, a self-proclaimed German heiress, was worldly and ambitious. She was also generous-picking up the tab for lavish dinners at Le Coucou, infrared sauna sessions at HigherDOSE, drinks at the 11 Howard Library bar, and regular workout sessions with a celebrity personal trainer.   When Anna proposed an all-expenses-paid trip to Marrakech at the five-star La Mamounia hotel, Rachel jumped at the chance. But when Anna's credit cards mysteriously stopped working, the dream vacation quickly took a dark turn. Anna asked Rachel to begin fronting costs-first for flights, then meals and shopping, and, finally, for their $7,500-per-night private villa. Before Rachel knew it, more than $62,000 had been charged to her credit cards. Anna swore she would reimburse Rachel the moment they returned to New York.   Back in Manhattan, the repayment never materialized, and a shocking pattern of deception emerged. Rachel learned that Anna had left a trail of deceit-and unpaid bills-wherever she'd been. Mortified, Rachel contacted the district attorney, and in a stunning turn of events, found herself helping to bring down one of the city's most notorious con artists.   With breathless pacing and in-depth reporting from the person who experienced it firsthand,  My Friend Anna  is an unforgettable true story of money, power, greed, and female friendship.||1 online resource||364.163092|ebook - ebook|07/23/2019|2019-07-23|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781982114114?s=MD|http://books.google.com/books/content?id=TWqGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9780190068523|9780190068523.0|Overreach: How China Derailed Its Peaceful Rise|Overreach How china derailed its peaceful rise. Susan L Shirk.|Overreach|Shirk, Susan L.|Shirk, Susan L.|Susan L. Shirk|Nonfiction., History., Politics., Electronic books.|China|For decades, China's rise to power was characterized by its reassurance that this rise would be peaceful. Then, as Susan L. Shirk, shows in this sobering, clear-eyed account of China today, something changed.  For three decades after Mao's death in 1976, China's leaders adopted a restrained approach to foreign policy. They determined that any threat to their power, and that of the Chinese Communist Party, came not from abroad but from withina conclusion cemented by the 1989 Tiananmen crisis. To facilitate the country's inexorable economic ascendence, and to prevent a backlash, they reassured the outside world of China's peaceful intentions. Then, as Susan Shirk shows in this illuminating, disturbing, and utterly persuasive new book, something changed. China went from fragile superpower to global heavyweight, threatening Taiwan as well as its neighbors in the South China Sea, tightening its grip on Hong Kong, and openly challenging the United States for preeminence not just economically and technologically but militarily. China began to overreach. Combining her decades of research and experience, Shirk, one of the world's most respected experts on Chinese politics, argues that we are now fully embroiled in a new cold war. To explain what happened, Shirk pries open the black box of China's political system and looks at what derailed its peaceful rise. As she shows, the shift toward confrontation began in the mid-2000s under the mild-mannered Hu Jintao, first among equals in a collective leadership. As China's economy boomed, especially after the Global Financial Crisis of 2008, Hu and the other leaders lost restraint, abetting aggression toward the outside world and unchecked domestic social control. When Xi Jinping took power in 2012, he capitalized on widespread official corruption and open splits in the leadership to make the case for more concentrated power at the top. In the decade following, and to the present daythe eve of the 20th CCP Congress when he intends to claim a third termhe has accumulated greater power than any leader since Mao. Those who implement Xi's directives compete to outdo one another, provoking an even greater global backlash and stoking jingoism within China on a scale not seen since the Cultural Revolution. Here is a devastatingly lucid portrait of China today. Shirk's extensive interviews and meticulous analysis reveal the dynamics driving overreach. To counter it, she argues, the worst mistake the rest of the world, and the United States in particular, can make is to overreact. Understanding the domestic roots of China's actions will enable us to avoid the mistakes that could lead to war.||1 online resource||Missing Value|ebook - ebook|10/07/2022|2022|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780190068523?s=MD|
9780241347676|9780241347676.0|Revolutionary Spring: Fighting For A New World 1848-1849|Revolutionary spring : fighting for a new world, 1848-1849 / Christopher Clark.|Revolutionary Spring|Clark, Christopher|Clark, Christopher M.|Christopher Clark|Nonfiction., Social conditions, Politics and government, Revolutions Europe History 19th century., Crime., History., Military., Europe History 1848-1849., Italy, Hungary, Germany, France, Europe, Europe Politics and government 1848-1871., Europe Politics and government 1815-1871., Europe Social conditions 1789-1900., Italy History Revolution of 1848., France History February Revolution, 1848., Hungary History Uprising of 1848-1849., Germany History Revolution, 1848-1849., Europe History 1815-1871., Electronic books.|History|'One of the best history books you will read this decade'  History Today  'Fascinating, suspenseful, revelatory, alive'  The Times    *An exhilarating reappraisal of one of the most dramatic years in European history, from the acclaimed author of  The Sleepwalkers*   There can be few more exciting or frightening moments in European history than the spring of 1848. Almost as if by magic, in city after city, from Palermo to Paris to Venice, huge crowds gathered, sometimes peaceful and sometimes violent, and the political order that had held sway since the defeat of Napoleon simply collapsed. Christopher Clark's spectacular new book recreates with verve, wit and insight this extraordinary period. Some rulers gave up at once, others fought bitterly, but everywhere new politicians, beliefs and expectations surged forward. The role of women in society, the end of slavery, the right to work, national independence and the final emancipation of the Jews all became live issues. In a brilliant series of set-pieces, Clark conjures up both this ferment of new ideas and then the increasingly ruthless and effective series of counter-attacks launched by regimes who still turned out to have many cards to play. But even in defeat, exiles spread the ideas of 1848 around the world and - for better and sometimes much worse - a new and very different Europe emerged from the wreckage.||1 online resource||940.28|ebook - ebook|04/27/2023|2023-04-27|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780241347676?s=MD|http://books.google.com/books/content?id=9kV4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9781612388588|9781612388588.0|Rick Steves' Switzerland|Rick steves' switzerland Rick Steves.||Steves, Rick|Steves, Rick.||Nonfiction., Travel., Electronic books., Electronic book||You can count on Rick Steves to tell you what you really need to know when visiting Switzerland.This book guides you through bustling Zürich and charming Luzern, colorful with flower-bedecked bridges. Crisscross the mountains on cable cars, trains, and hiking paths. Find an alpine retreat in the cliff-hanging village of Gimmelwald. Marvel at the Matterhorn, relax in Lugano, and take an unforgettable swim in Bern. Cruise Lake Geneva and savor the cozy small-town atmosphere of Appenzell. After a day of sightseeing and hiking the Alps, treat yourself to a glass of local wine, cheese fondue, and delicious Swiss chocolate.Rick's candid, humorous advice will guide you to good-value hotels, B&Bs, and restaurants in cities, villages, and resort towns. You'll learn how to plan scenic rail journeys, and which sights are worth your time and money. More than reviews and directions, a Rick Steves guidebook is a tour guide in your pocket.||1 online resource||914.940474|ebook - ebook|03/25/2014||https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781612388588?s=MD|
9781612123622|9781612123622.0|Saving Container Plants: Overwintering Techniques For Keeping Tender Plants Alive Year After Year. A Storey Basics® Title|Saving container plants : overwintering techniques for keeping tender plants alive year after year / Alice and Brian McGowan.|Saving Container Plants|McGowan, Brian|McGowan, Alice.|Brian McGowan, Alice McGowan|Nonfiction., Perennials., Container gardening., Gardening., Electronic books., McGowan, Alice. Bulbs in the basement, geraniums on the windowsill.|Gardening|Enjoy your favorite container plants year after year! From geraniums to fuschia and beyond, many container plants can be overwintered and enjoyed again the next season. This Storey Basics guide offers simple techniques for overwintering a variety of common tender perennial plants, based on what kind of dormancy the plants go through in their native environment. You can easily overwinter most plants with few to no pest problems, simply by giving them the dormancy conditions they need. Includes a plant-by-plant guide for quick reference.||1 online resource||635.986|ebook - ebook|07/11/2014|2014-07-11|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781612123622?s=MD|http://books.google.com/books/content?id=arN4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
