Title ISBN|ISBN|Title|[N] Title|[G] Title|Author|[N] Author|[G] Author|[N] Subjects|[G] Subjects|[N] Abstract|[N] Notes|[N] Physical Description|[G] Page Count|Item DDC Code|Item Media|Title Publication Date|[G] Published Date|[N] Cover URL|[G] Cover URL
9780241673195|9780241673195.0|﻿Japan : Dk Eyewitness Travel Guides|Japan : DK eyewitness travel guides|DK Japan|Missing Value||DK Travel|Japan Guidebooks., Japan Description and travel., Japan., Guidebooks., Guidebooks.|History||2021 edition is updated by contributor, Rob Goss.|volumes : illustrations, maps ; 22 cm.||915.204|BOOK - Book|2000-|2024-09-05|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780241673195?s=MD|http://books.google.com/books/content?id=NSJi0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9781838693725|9781838693725.0|Japan : Lonely Planet Travel Survival Kit.|Japan : Lonely Planet travel survival kit.|Lonely Planet Japan 18|Rowthorn, Chris.||Lonely Planet|Japan Guidebooks., Rowthorn, Chris.|Travel||At head of title: Lonely Planet, <2000- >, Vols. for <2000- > lack series statement., Description based on: 4th ed., copyrighted 1991., Latest issue consulted: 8th ed., published in 2003., 11th ed.(2009)- published: Footscray, Vic. : Lonely Planet., Vols. for 2000-    by Chris Rowthorn ... [et al.], Includes index., Vols for 14th ed. (2015)- comes with fold-out Tokyo city map inserted inside back cover with perforated strip., Volumes for 15th edition (2017) include pull-out map., Volumes for 17th edition (2021) comes with fold-out Tokyo city map inserted inside back cover with perforated strip.|volumes: illustrations (some color), maps; 19 cm.||915.204|BOOK - Book|Missing Value|2024-03-19|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781838693725?s=MD|http://books.google.com/books/content?id=FiAF0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9781787016774|9781787016774.0|China : Lonely Planet|China : Lonely Planet|Lonely Planet China|Harper, Damian.||Lonely Planet|China Guidebooks., Harper, Damian.|Travel||Maps feature also Chinese script., Vols for 12th ed. (May 2011) - by Damian Harper ... [et al.]., Volumes for 15th edition (2017) and 16th edition (2021) include pull-out map.|volumes: illustrations (some color), maps; 20 cm||915.104|BOOK - Book|Missing Value|2020-08-18|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781787016774?s=MD|http://books.google.com/books/content?id=6wtVyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780241675083|9780241675083.0|New Zealand : Dk Eyewitness Travel.|New Zealand : DK eyewitness travel.|DK New Zealand|Dorling Kindersley Publishing, Inc.||DK Travel|New Zealand Guidebooks.|History||Includes index., Latest ed. consulted: (2005).|volumes : color illustrations, color maps ; 22 cm.||919.304|BOOK - Book|2001-|2024-09-05|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780241675083?s=MD|http://books.google.com/books/content?id=BSJi0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9781839059797|9781839059797.0|Japan : The Rough Guide.|Japan : the rough guide.|The Rough Guide to Japan: Travel Guide with Free EBook|Missing Value||Rough Guides|Japan Guidebooks.|Travel||Volumes for 7th edition (2017) - updated by Paul Gray, Sally McClaren, Tamatha Roman, Simon Scott, Greg Ward and Martin Zatko.|volumes : illustrations(some color), maps ; 20 cm||915.2|BOOK - Book|1999-|2024-04-02|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781839059797?s=MD|http://books.google.com/books/content?id=PqEO0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9781982172008|9781982172008.0|Chip War : The Fight For The World'S Most Critical Technology|Chip war : the fight for the world's most critical technology / Chris Miller.|Chip War|Miller, Chris|Miller, Chris|Chris Miller|Integrated circuits industry., Microelectronics History., United States Relations China., China Relations United States.|Business & Economics|||1 volume||338.476|BOOK - Book|2022.|2022-10-04|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781982172008?s=MD|http://books.google.com/books/content?id=JH-HEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9780241673164|9780241673164.0|Italy : Eyewitness Travel Guides.|Italy : Eyewitness travel guides.|DK Eyewitness Italy|Missing Value||Dk Eyewitness|Italy Guidebooks.|History||Includes index.|volumes : color illustrations, color maps ; 23 cm.||914.504|BOOK - Book|1996-|2024-09-05|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780241673164?s=MD|http://books.google.com/books/content?id=TSJi0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780241617397|9780241617397.0|Hello, South Korea : Meet The Country Behind Hallyu|Hello, South Korea : meet the country behind hallyu / editors, Alex Pathe, Bella Talbot, Lucy Sara-Kelly.|Hello, South Korea|Pathe, Alex||DK Eyewitness|Korea (South) Guidebooks., Guidebooks., Pathe, Alex, editor., Talbot, Bella, editor., Sara-Kelly, Lucy, editor.|History||Includes index.|224 pages : illustrations (colour), map ; 23 cm.||915.195|BOOK - Book|2023.|2023|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780241617397?s=MD|http://books.google.com/books/content?id=zd2IzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9781786574657|9781786574657.0|Norway : Lonely Planet.|Norway : Lonely Planet.||Ham, Anthony.|||Norway Description and travel Guidebooks., Guidebooks., Ham, Anthony., Stuart Butler., Roddis, Miles., Wheeler, Donna.|||At head of title: Lonely Planet., Vols for 5th ed. (2011) - by Anthony Ham, Stuart Butler, Miles Roddis., Vols for 6th ed. (2015) - by Anthony Ham, Stuart Butler, Donna Wheeler., Volumes for 7th edition (May 2018) - by Anthony Ham, Oliver Berry, Donna Wheeler ; with Oslo pull-out map at the back of book., Volumes for 8th edition (January 2022) - by Anthony Ham, Oliver Berry, Donna Wheeler ; with Oslo airport pull-out card at the back of book.|volumes : illustrations (some color), maps ; 19 cm||914.81|BOOK - Book|Missing Value||https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781786574657?s=MD|
9781984878281|9781984878281.0|The New China Playbook : Beyond Socialism And Capitalism|The new China playbook : beyond socialism and capitalism / Keyu Jin.|The New China Playbook|Jin, Keyu|Jin, Keyu|Keyu Jin|China Economic conditions 2000-, China Economic policy 2000-|Business & Economics|China's economy has been booming for decades now. Keyu Jin, an economist who was born in China and educated in the United States, brings her fluency in Eastern and Western cultures together to offer an explanation of how China became such a successful economic story. This book is a guide to the Chinese economy as it has shifted from being based primarily on state-owned enterprise to being based on entrepreneurship and participation in the global economy--Provided by publisher.||360 pages : illustrations ; 24 cm||330.951|BOOK - Book|[2023]|2023-05-16|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781984878281?s=MD|http://books.google.com/books/content?id=vECREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
